"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SW10","CHERRYMX_5PIN","2109.375mil","3812.5mil","2109.375mil","3812.5mil","2259.375mil","3712.5mil","T","180.00","Q"
"SW9","CHERRYMX_5PIN","1546.875mil","3062.5mil","1546.875mil","3062.5mil","1696.875mil","2962.5mil","T","180.00","Caps Lock"
"SW8","CHERRYMX_5PIN","1921.875mil","2312.5mil","1921.875mil","2312.5mil","2071.875mil","2212.5mil","T","180.00","< >"
"SW7","CHERRYMX_5PIN","2203.125mil","1562.5mil","2203.125mil","1562.5mil","2353.125mil","1462.5mil","T","180.00","L-Amiga"
"SW6","CHERRYMX_5PIN","609.375mil","5687.5mil","609.375mil","5687.5mil","759.375mil","5587.5mil","T","180.00","ESC"
"SW5","CHERRYMX_5PIN","796.875mil","4562.5mil","796.875mil","4562.5mil","946.875mil","4462.5mil","T","180.00","~"
"SW4","CHERRYMX_5PIN","984.375mil","3812.5mil","984.375mil","3812.5mil","1134.375mil","3712.5mil","T","180.00","TAB"
"SW3","CHERRYMX_5PIN","703.125mil","3062.5mil","703.125mil","3062.5mil","853.125mil","2962.5mil","T","180.00","Ctrl"
"SW2","CHERRYMX_5PIN","890.625mil","2312.5mil","890.625mil","2312.5mil","1040.625mil","2212.5mil","T","180.00","L-Shift"
"SW1","CHERRYMX_5PIN","1265.625mil","1562.5mil","1265.625mil","1562.5mil","1415.625mil","1462.5mil","T","180.00","L-Alt"
"R96","RESC2012N_ZERO","15890.625mil","3343.75mil","15890.625mil","3343.75mil","15929.995mil","3343.75mil","B","180.00","0805"
"R95","RESC2012N_ZERO","12703.125mil","4843.75mil","12703.125mil","4843.75mil","12742.495mil","4843.75mil","B","180.00","0805"
"R94","RESC2012N_ZERO","16640.625mil","3343.75mil","16640.625mil","3343.75mil","16679.995mil","3343.75mil","B","180.00","0805"
"R93","RESC2012N_ZERO","15140.625mil","3343.75mil","15140.625mil","3343.75mil","15179.995mil","3343.75mil","B","180.00","0805"
"R92","RESC2012N_ZERO","14015.625mil","2593.75mil","14015.625mil","2593.75mil","14054.995mil","2593.75mil","B","180.00","0805"
"R91","RESC2012N_ZERO","17390.625mil","3343.75mil","17390.625mil","3343.75mil","17429.995mil","3343.75mil","B","180.00","0805"
"R90","RESC2012N_ZERO","15140.625mil","4093.75mil","15140.625mil","4093.75mil","15179.995mil","4093.75mil","B","180.00","0805"
"R89","RESC2012N_ZERO","11390.625mil","4843.75mil","11390.625mil","4843.75mil","11429.995mil","4843.75mil","B","180.00","0805"
"R88","RESC2012N_ZERO","13828.125mil","4843.75mil","13828.125mil","4843.75mil","13867.495mil","4843.75mil","B","180.00","0805"
"R87","RESC2012N_ZERO","13265.625mil","3343.75mil","13265.625mil","3343.75mil","13304.995mil","3343.75mil","B","180.00","0805"
"R86","RESC2012N_ZERO","13265.625mil","2593.75mil","13265.625mil","2593.75mil","13304.995mil","2593.75mil","B","180.00","0805"
"R85","RESC2012N_ZERO","15890.625mil","4093.75mil","15890.625mil","4093.75mil","15929.995mil","4093.75mil","B","180.00","0805"
"R84","RESC2012N_ZERO","15140.625mil","2593.75mil","15140.625mil","2593.75mil","15179.995mil","2593.75mil","B","180.00","0805"
"R83","RESC2012N_ZERO","10640.625mil","4843.75mil","10640.625mil","4843.75mil","10679.995mil","4843.75mil","B","180.00","0805"
"R82","RESC2012N_ZERO","11296.875mil","3718.75mil","11296.875mil","3718.75mil","11336.245mil","3718.75mil","B","180.00","0805"
"R81","RESC2012N_ZERO","10453.125mil","3343.75mil","10453.125mil","3343.75mil","10492.495mil","3343.75mil","B","180.00","0805"
"R80","RESC2012N_ZERO","12515.625mil","2593.75mil","12515.625mil","2593.75mil","12554.995mil","2593.75mil","B","180.00","0805"
"R79","RESC2012N_ZERO","15515.625mil","1843.75mil","15515.625mil","1843.75mil","15554.995mil","1843.75mil","B","180.00","0805"
"R78","RESC2012N_ZERO","15890.625mil","2593.75mil","15890.625mil","2593.75mil","15929.995mil","2593.75mil","B","180.00","0805"
"R77","RESC2012N_ZERO","9890.625mil","4843.75mil","9890.625mil","4843.75mil","9929.995mil","4843.75mil","B","180.00","0805"
"R76","RESC2012N_ZERO","10265.625mil","4093.75mil","10265.625mil","4093.75mil","10304.995mil","4093.75mil","B","180.00","0805"
"R75","RESC2012N_ZERO","9703.125mil","3343.75mil","9703.125mil","3343.75mil","9742.495mil","3343.75mil","B","180.00","0805"
"R74","RESC2012N_ZERO","10734.375mil","2593.75mil","10734.375mil","2593.75mil","10773.745mil","2593.75mil","B","180.00","0805"
"R73","RESC2012N_ZERO","10734.375mil","1843.75mil","10734.375mil","1843.75mil","10773.745mil","1843.75mil","B","180.00","0805"
"R72","RESC2012N_ZERO","15140.625mil","4843.75mil","15140.625mil","4843.75mil","15179.995mil","4843.75mil","B","180.00","0805"
"R71","RESC2012N_ZERO","9140.625mil","4843.75mil","9140.625mil","4843.75mil","9179.995mil","4843.75mil","B","180.00","0805"
"R70","RESC2012N_ZERO","9515.625mil","4093.75mil","9515.625mil","4093.75mil","9554.995mil","4093.75mil","B","180.00","0805"
"R69","RESC2012N_ZERO","8953.125mil","3343.75mil","8953.125mil","3343.75mil","8992.495mil","3343.75mil","B","180.00","0805"
"R68","RESC2012N_ZERO","9328.125mil","2593.75mil","9328.125mil","2593.75mil","9367.495mil","2593.75mil","B","180.00","0805"
"R67","RESC2012N_ZERO","9796.875mil","1843.75mil","9796.875mil","1843.75mil","9836.245mil","1843.75mil","B","180.00","0805"
"R66","RESC2012N_ZERO","10546.875mil","5968.75mil","10546.875mil","5968.75mil","10586.245mil","5968.75mil","B","180.00","0805"
"R65","RESC2012N_ZERO","8390.625mil","4843.75mil","8390.625mil","4843.75mil","8429.995mil","4843.75mil","B","180.00","0805"
"R64","RESC2012N_ZERO","8765.625mil","4093.75mil","8765.625mil","4093.75mil","8804.995mil","4093.75mil","B","180.00","0805"
"R63","RESC2012N_ZERO","8203.125mil","3343.75mil","8203.125mil","3343.75mil","8242.495mil","3343.75mil","B","180.00","0805"
"R62","RESC2012N_ZERO","8578.125mil","2593.75mil","8578.125mil","2593.75mil","8617.495mil","2593.75mil","B","180.00","0805"
"R61","RESC2012N_ZERO","15890.625mil","4843.75mil","15890.625mil","4843.75mil","15929.995mil","4843.75mil","B","180.00","0805"
"R60","RESC2012N_ZERO","9609.375mil","5968.75mil","9609.375mil","5968.75mil","9648.745mil","5968.75mil","B","180.00","0805"
"R59","RESC2012N_ZERO","7640.625mil","4843.75mil","7640.625mil","4843.75mil","7679.995mil","4843.75mil","B","180.00","0805"
